"S.No.","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Manufacturer","Model","Type","Price.y","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","5","7","8","4","6","2","NA","10","9","0"
461,"Renault Duster 110PS Diesel RxL","Hyderabad",2012,82749,"Diesel","Manual","First",19.01,1461,108.45,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,"Hyundai Xcent 1.1 CRDi S Celebration Edition","Pune",2016,51000,"Diesel","Manual","First",24.4,1120,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,"Ford Ecosport 1.5 DV5 MT Titanium","Delhi",2014,31465,"Diesel","Manual","First",22.7,1498,89.84,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,"Volkswagen Polo Petrol Trendline 1.2L","Hyderabad",2013,76476,"Petrol","Manual","First",16.47,1198,73.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,"Hyundai Grand i10 CRDi Magna","Kolkata",2017,14000,"Diesel","Manual","First",24,1120,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"Tata Manza Aqua Quadrajet BS IV","Ahmedabad",2013,47000,"Diesel","Manual","First",21.12,1248,88.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,"Honda City 1.5 V MT","Kolkata",2011,48466,"Petrol","Manual","First",17,1497,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,"Hyundai Santro Xing GLS","Bangalore",2008,46000,"Petrol","Manual","Second",17.92,1086,62.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Hyderabad",2012,162663,"Diesel","Manual","First",12.99,2494,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA
470,"Maruti Ciaz 1.3 S","Coimbatore",2017,25142,"Diesel","Manual","First",28.09,1248,88.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,"Toyota Fortuner 4x4 MT TRD Sportivo","Delhi",2013,69000,"Diesel","Manual","First",12.55,2982,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,14.45,NA,NA,NA,NA,NA,NA,NA,NA
472,"Ford Fiesta 1.6 SXI ABS Duratec","Chennai",2009,80524,"Petrol","Manual","Second",15.3,1596,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,"Mercedes-Benz E-Class E 220 d","Kochi",2018,26405,"Petrol","Automatic","First",12.6,1950,191.34,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",51.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,"Mercedes-Benz New C-Class 220 CDI MT","Chennai",2014,45000,"Diesel","Manual","First",15.8,2148,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,"Skoda Yeti Ambition 4X2","Kolkata",2012,64284,"Diesel","Manual","First",17.72,1968,108.49,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,"Hyundai Grand i10 Sportz","Delhi",2015,27000,"Petrol","Manual","First",18.9,1197,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,"Ford Figo 2015-2019 1.2P Titanium MT","Hyderabad",2018,3678,"Petrol","Manual","First",18.16,1196,86.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"Skoda Octavia Ambition 1.4 TSI MT","Mumbai",2013,21000,"Petrol","Manual","First",16.8,1395,138.02,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,"Renault Duster 85PS Diesel RxL Option","Mumbai",2015,67000,"Diesel","Manual","Second",19.87,1461,83.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,"Land Rover Range Rover Evoque 2.0 TD4 Pure","Delhi",2015,24000,"Diesel","Automatic","Second",15.68,1999,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,"Ford Figo Diesel EXI","Chennai",2011,75000,"Diesel","Manual","Second",20,1399,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,"Ford Endeavour Hurricane Limited Edition","Hyderabad",2008,179000,"Diesel","Automatic","Second",12.8,2953,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA
483,"Toyota Fortuner 4x4 MT","Coimbatore",2017,47198,"Diesel","Manual","First",12.55,2982,168.5,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,28.42,NA,NA,NA,NA,NA,NA,NA,NA
484,"Volkswagen Polo Diesel Comfortline 1.2L","Kolkata",2012,52000,"Diesel","Manual","First",22.07,1199,73.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,"Maruti Ritz VDi","Jaipur",2011,91000,"Diesel","Manual","First",23.2,1248,73.94,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,"Nissan Micra Diesel XV Premium","Pune",2013,60000,"Diesel","Manual","First",23.08,1461,63.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"Hyundai Verna 1.6 SX","Kolkata",2013,37873,"Diesel","Manual","First",22.32,1582,126.32,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,"BMW 5 Series 2003-2012 523i","Kolkata",2011,31000,"Petrol","Automatic","First",10.8,2497,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,"Mercedes-Benz GLS 350d 4MATIC","Pune",2017,129000,"Diesel","Automatic","First",11,2987,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,56,NA,NA,NA,NA,NA,NA,NA,NA
490,"Honda CR-V 2.4L 4WD AT","Hyderabad",2004,78000,"Petrol","Automatic","First",12,2354,187.4,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,"Hyundai Creta 1.6 CRDi AT SX Plus","Bangalore",2016,32000,"Diesel","Automatic","First",17.01,1582,126.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"Hyundai i10 Era","Jaipur",2010,59000,"Petrol","Manual","Second",19.81,1086,68.05,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,"Mercedes-Benz A Class A200 CDI Sport","Kochi",2016,35437,"Diesel","Automatic","First",20,2143,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",18.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,"Maruti Ertiga VXI","Jaipur",2014,98000,"Petrol","Manual","First",16.02,1373,93.7,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA
495,"Skoda Octavia Classic 1.9 TDI MT","Chennai",2006,72000,"Diesel","Manual","Second",18.7,1896,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"Honda Amaze VX i-Vtech","Pune",2015,79000,"Petrol","Manual","First",18,1198,86.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,"Maruti Zen LXi BSII","Chennai",2004,29000,"Petrol","Manual","First",17.3,993,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"Maruti SX4 ZXI MT BSIV","Kochi",2013,66012,"Petrol","Manual","First",15.5,1586,103.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"Honda Brio VX AT","Mumbai",2014,35000,"Petrol","Automatic","First",16.5,1198,86.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,"Maruti Wagon R VXI","Ahmedabad",2011,75000,"Petrol","Manual","First",18.9,998,67.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,"Toyota Camry A/T","Mumbai",2008,80000,"Petrol","Automatic","Second",12.1,2362,164.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,"Chevrolet Beat LS","Kochi",2012,32717,"Petrol","Manual","First",18.6,1199,79.4,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,"Toyota Fortuner 4x4 AT","Delhi",2017,25000,"Diesel","Automatic","First",12.55,2982,168.5,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,32,NA,NA,NA,NA,NA,NA,NA,NA
504,"Ford Ecosport 1.5 DV5 MT Titanium Optional","Mumbai",2014,79000,"Diesel","Manual","First",22.7,1498,89.84,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,"Maruti Swift Vdi BSIII","Hyderabad",2010,86000,"Diesel","Manual","Second",17.8,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,"Mercedes-Benz S Class 2005 2013 S 350 CDI","Pune",2010,137000,"Diesel","Automatic","First",13.5,2987,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,"Honda Mobilio S i VTEC","Mumbai",2015,25000,"Petrol","Manual","Second",17.3,1497,117.3,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA
508,"Hyundai Grand i10 Sportz","Mumbai",2017,8500,"Petrol","Manual","Second",18.9,1197,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,"Mahindra XUV500 AT W8 FWD","Bangalore",2015,34000,"Diesel","Automatic","First",16,2179,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,13,NA,NA,NA,NA,NA,NA,NA,NA
510,"Skoda Fabia 1.6 MPI Elegance","Pune",2012,41629,"Petrol","Manual","Second",14.83,1598,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,"Hyundai Santro Xing GLS","Hyderabad",2009,80227,"Petrol","Manual","First",17.92,1086,62.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,"Hyundai Creta 1.6 SX Plus Dual Tone Petrol","Kochi",2019,8587,"Petrol","Manual","First",15.29,1591,121.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",13.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,"Mahindra Scorpio 1.99 S8","Delhi",2017,30000,"Diesel","Manual","First",15.4,1997,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,12.25,NA,NA,NA,NA,NA,NA,NA,NA
514,"Skoda Rapid 1.6 TDI Ambition","Pune",2013,64186,"Diesel","Manual","First",20.5,1598,103.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,"Renault Duster 110PS Diesel RxZ","Coimbatore",2015,76427,"Diesel","Manual","First",19.01,1461,108.45,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,"BMW X5 xDrive 30d","Hyderabad",2011,75000,"Diesel","Automatic","First",11.7,2993,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,"Toyota Etios G","Coimbatore",2013,27075,"Petrol","Manual","First",17.6,1496,88.73,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,"Maruti Wagon R LXI","Ahmedabad",2012,30000,"Petrol","Manual","First",22.5,998,67.04,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,"Hyundai Creta 1.6 SX","Chennai",2016,69434,"Petrol","Manual","First",15.8,1591,121.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"Maruti Celerio VXI","Jaipur",2014,56000,"Petrol","Manual","First",23.1,998,67.04,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,"Land Rover Range Rover HSE Dynamic","Coimbatore",2017,49275,"Diesel","Automatic","First",12.7,2179,187.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",45.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,"Chevrolet Beat LT","Pune",2014,8700,"Petrol","Manual","First",18.6,1199,76.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,"Tata Nano Twist XT","Ahmedabad",2014,18000,"Petrol","Manual","Second",25.4,624,37.5,"BMW","535i","Midsize",30,22,30,"Driver only","Rear","4",208,5700,2545,"Yes",21.1,186,109,69,39,27,13,3640,"non-USA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
524,"Audi A6 2011-2015 35 TDI Technology","Coimbatore",2017,41041,"Diesel","Automatic","First",17.68,1968,174.33,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",37.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,"Mercedes-Benz E-Class 280 CDI","Kochi",2009,80464,"Diesel","Automatic","Second",11,2987,198.5,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,"Maruti Swift VXI","Kochi",2019,20667,"Petrol","Manual","First",22,1197,81.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,"Fiat Linea T Jet","Coimbatore",2013,60283,"Petrol","Manual","First",14.6,1368,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"Maruti Swift VXI Optional","Kochi",2017,31696,"Petrol","Manual","First",20.4,1197,81.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,"Toyota Fortuner 3.0 Diesel","Hyderabad",2010,100000,"Diesel","Manual","First",11.5,2982,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,13,NA,NA,NA,NA,NA,NA,NA,NA
530,"Maruti Ertiga ZXI","Mumbai",2014,13361,"Petrol","Manual","First",16.02,1373,93.7,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA
531,"BMW 3 Series 320i Sedan","Coimbatore",2010,48394,"Petrol","Automatic","First",12.05,1995,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",10.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,"Maruti Ertiga VXI","Jaipur",2014,47399,"Petrol","Manual","First",16.02,1373,93.7,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA
533,"Honda City 1.5 V AT","Mumbai",2010,69000,"Petrol","Automatic","Second",16.8,1497,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,"Hyundai Santa Fe 4X4","Coimbatore",2013,65278,"Diesel","Manual","First",14.66,2199,194.3,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,8.36,NA,NA,NA,NA,NA,NA,NA,NA
535,"Tata Indigo LS","Jaipur",2005,108000,"Diesel","Manual","First",17,1405,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,"Mercedes-Benz E-Class 2009-2013 E 250 Elegance","Kolkata",2010,50645,"Petrol","Automatic","Second",10.93,2497,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,"Maruti Swift Dzire LDi","Hyderabad",2011,130002,"Diesel","Manual","First",19.3,1248,73.9,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,"Ford Fiesta Classic 1.4 Duratorq CLXI","Hyderabad",2012,107000,"Diesel","Manual","First",17.8,1399,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"Honda City i VTEC CVT VX","Coimbatore",2015,41950,"Petrol","Automatic","First",18,1497,117.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,"Toyota Fortuner 4x2 Manual","Delhi",2012,109000,"Diesel","Manual","First",13,2982,168.5,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,13.25,NA,NA,NA,NA,NA,NA,NA,NA
541,"Honda Amaze VX O i VTEC","Mumbai",2016,9000,"Petrol","Manual","First",18,1198,86.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,"Hyundai i20 Asta 1.4 CRDi","Delhi",2014,43900,"Diesel","Manual","First",22.54,1396,88.73,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,"Chevrolet Enjoy TCDi LTZ 7 Seater","Bangalore",2013,64000,"Diesel","Manual","Second",18.2,1248,73.8,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,4.85,NA,NA,NA,NA,NA,NA,NA,NA
544,"Mercedes-Benz New C-Class Progressive C 200","Kochi",2019,13190,"Petrol","Automatic","First",0,1950,181.43,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",38.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"Maruti SX4 ZXI AT Leather","Mumbai",2009,77652,"Petrol","Automatic","First",12.6,1586,103.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Mumbai",2012,55000,"Diesel","Manual","First",12.99,2494,NA,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,9.51,NA,NA,NA,NA,NA,NA,NA,NA
547,"BMW 5 Series 2003-2012 520d","Ahmedabad",2012,59900,"Diesel","Automatic","Second",18.48,1995,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"Renault Duster 110PS Diesel RxZ","Delhi",2015,73539,"Diesel","Manual","First",19.01,1461,108.45,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
